StonePlantBoulder,-9145,-9135,-14533,-14523
StonePlantMound3,-9168,-9157,-14623,-14614
StonePlantMound4,-9097,-9090,-14593,-14586
RLCraft_PlainsCamp,-9108,-9062,-14711,-14672
RLCraft_SmallUndergroundSkeleton,-9099,-9091,-14792,-14784
RLCraft_PhilbosaurusRex,-9108,-9034,-14794,-14761
MesoMazeSpiderTurn,-8984,-8979,-14631,-14626
MesoMazeStairCorridor,-8981,-8979,-14637,-14632
MesoMazeSpiderTurn,-8990,-8985,-14634,-14629
MesoMazePath,-8987,-8985,-14628,-14626
MesoMazePath,-8990,-8988,-14628,-14626
MesoMazeStorage,-8984,-8979,-14643,-14638
MesoMazeStairTurn,-8990,-8985,-14640,-14635
MesoMazePath,-8993,-8991,-14637,-14635
MesoMazeStairCorridor,-8984,-8982,-14637,-14632
MesoMazeGrowth,-8984,-8979,-14631,-14626
MesoMazeStairCorridor,-8987,-8985,-14646,-14641
MesoMazePath,-8987,-8985,-14643,-14641
MesoMazePath,-8987,-8985,-14649,-14647
MesoMazeZombieTable,-8981,-8976,-14625,-14620
MesoMazeSpiderTurn,-8990,-8985,-14640,-14635
MesoMazeStairTurn,-8993,-8988,-14634,-14629
MesoMazeCorridorCollapse,-8984,-8979,-14649,-14647
MesoMazePath,-8984,-8982,-14640,-14638
MesoMazePath,-8990,-8988,-14649,-14647
MesoMazeStairCorridor,-8999,-8994,-14634,-14632
MesoMazeStairCorridor,-8996,-8991,-14649,-14647
MesoMazeZombieTable,-8990,-8985,-14628,-14623
MesoMazePath,-9002,-9000,-14634,-14632
MesoMazeCorridorCollapse,-8987,-8985,-14634,-14629
MesoMazeSpiderTurn,-8978,-8973,-14652,-14647
MesoMazeSpiderTurn,-8978,-8973,-14646,-14641
MesoMazePath,-8987,-8985,-14628,-14626
MesoMazePath,-9002,-9000,-14637,-14635
MesoMazeGrowth,-8978,-8973,-14649,-14644
MesoMazeZombieTable,-8984,-8979,-14646,-14641
MesoMazePath,-8999,-8997,-14649,-14647
MesoMazeZombieTable,-9002,-8997,-14643,-14638
MesoMazePath,-8999,-8997,-14637,-14635
MesoMazeGrowth,-8987,-8982,-14640,-14635
MesoMazePath,-8984,-8982,-14637,-14635
MesoMazeZombieTable,-8984,-8979,-14646,-14641
MesoMazeStairCorridor,-8981,-8979,-14640,-14635
MesoMazePath,-8972,-8970,-14646,-14644
MesoMazeCorridorCollapse,-8972,-8970,-14643,-14638
MesoMazeSpiderTurn,-8972,-8967,-14649,-14644
MesoMazeStairTurn,-8996,-8991,-14640,-14635
MesoMazePath,-8987,-8985,-14649,-14647
MesoMazePath,-8990,-8988,-14640,-14638
MesoMazePath,-9002,-9000,-14649,-14647
MesoMazeStairCorridor,-8981,-8979,-14634,-14629
MesoMazePath,-8978,-8976,-14628,-14626
MesoMazePath,-8990,-8988,-14643,-14641
MesoMazeGrowth,-8987,-8982,-14625,-14620
MesoMazeStorage,-8993,-8988,-14646,-14641
MesoMazeCorridorCollapse,-8972,-8970,-14637,-14632
MesoMazePath,-8990,-8988,-14646,-14644
MesoMazePath,-8984,-8982,-14619,-14617
MesoMazePath,-8966,-8964,-14646,-14644
MesoMazeCorridorCollapse,-8969,-8967,-14643,-14638
