StoneLeafMound,-20022,-20015,16648,16657
StonePlantMound1,-20020,-20014,16819,16825
StoneBoulder,-20076,-20067,16810,16819
StoneLeafMound,-20090,-20081,16798,16805
StonePlantMound3,-20107,-20096,16669,16678
StoneMazePath,-20122,-20120,16666,16668
StoneMazePathBig,-20101,-20093,16666,16674
StoneMazePath,-20110,-20108,16723,16725
StoneMazeEndChest,-20125,-20123,16666,16668
StoneMazeEndChest,-20119,-20117,16666,16668
StoneMazePath,-20104,-20102,16669,16671
StoneMazePath,-20107,-20105,16723,16725
StoneMazeFountain,-20125,-20117,16669,16677
StoneMazePathBig,-20134,-20126,16708,16716
StoneMazeSpiderRoom,-20131,-20126,16672,16677
StoneMazePath,-20104,-20102,16672,16674
StoneMazeStudy,-20089,-20075,16696,16704
StoneMazePath,-20077,-20075,16681,16683
StoneMazePath,-20092,-20090,16669,16671
StoneMazePath,-20104,-20102,16666,16668
StoneMazePath,-20077,-20075,16678,16680
StoneMazePath,-20077,-20075,16675,16677
StoneMazePath,-20098,-20096,16675,16677
StoneMazePath,-20083,-20081,16696,16698
StoneMazePath,-20083,-20081,16693,16695
StoneMazeLitRoom,-20113,-20108,16717,16722
StoneMazePath,-20113,-20111,16714,16716
StoneMazePath,-20116,-20114,16717,16719
StoneMazePath,-20134,-20132,16678,16680
StoneMazePath,-20116,-20114,16720,16722
StoneMazePath,-20101,-20099,16675,16677
StoneMazePath,-20134,-20132,16675,16677
StoneMazeSpiderRoom,-20080,-20075,16669,16674
StoneMazeShootingRange,-20107,-20102,16711,16719
StoneMazeEndChest,-20119,-20117,16720,16722
StoneMazePathBig,-20086,-20078,16684,16692
StoneMazePath,-20110,-20108,16714,16716
StoneMazePath,-20116,-20114,16714,16716
StoneMazeFountain,-20125,-20117,16678,16686
StoneMazePath,-20113,-20111,16723,16725
StoneMazePath,-20116,-20114,16711,16713
StoneMazePathBig,-20125,-20117,16708,16716
StoneMazePath,-20104,-20102,16675,16677
StoneMazePath,-20092,-20090,16672,16674
StoneMazePath,-20131,-20129,16678,16680
StoneMazePath,-20089,-20087,16687,16689
StoneMazeShootingRange,-20128,-20120,16687,16692
StoneMazeShootingRange,-20110,-20105,16669,16677
StoneMazePath,-20113,-20111,16711,16713
StoneMazeEndChest,-20134,-20132,16672,16674
StoneMazePath,-20080,-20078,16675,16677
StoneMazePathBig,-20089,-20081,16672,16680
StoneMazePath,-20110,-20108,16711,16713
StoneMazePathBig,-20125,-20117,16699,16707
StoneMazePathBig,-20116,-20108,16699,16707
StoneMazeShootingRange,-20134,-20126,16681,16686
StoneMazePath,-20116,-20114,16681,16683
StoneMazeFountain,-20116,-20108,16690,16698
StoneMazePath,-20107,-20105,16702,16704
StoneMazeStudy,-20095,-20087,16681,16695
StoneMazePath,-20113,-20111,16708,16710
StoneMazePath,-20107,-20105,16720,16722
StoneMazePath,-20086,-20084,16669,16671
StoneMazePath,-20101,-20099,16717,16719
StoneMazePath,-20092,-20090,16696,16698
StoneMazePath,-20092,-20090,16675,16677
StoneMazeShootingRange,-20098,-20090,16699,16704
StoneMazeEndChest,-20116,-20114,16678,16680
StoneMazePath,-20077,-20075,16687,16689
StoneMazeEndChest,-20086,-20084,16681,16683
StoneMazePath,-20122,-20120,16693,16695
StoneMazePath,-20107,-20105,16699,16701
StoneMazePath,-20116,-20114,16723,16725
StoneMazePath,-20119,-20117,16693,16695
StoneMazeSpiderRoom,-20107,-20102,16705,16710
StoneMazeShootingRange,-20113,-20105,16684,16689
StoneMazePath,-20104,-20102,16702,16704
StoneMazePath,-20098,-20096,16678,16680
StoneMazePath,-20104,-20102,16699,16701
StoneMazePath,-20116,-20114,16684,16686
StoneMazePath,-20116,-20114,16687,16689
StoneMazePath,-20101,-20099,16720,16722
StoneMazePath,-20095,-20093,16675,16677
StoneMazeEndChest,-20104,-20102,16720,16722
StoneMazePath,-20119,-20117,16696,16698
StoneMazePath,-20122,-20120,16717,16719
StoneMazeSpiderRoom,-20104,-20099,16678,16683
StoneMazePath,-20092,-20090,16678,16680
StoneMazePath,-20101,-20099,16723,16725
StoneMazeEndChest,-20083,-20081,16681,16683
StoneMazePath,-20113,-20111,16681,16683
StoneMazePath,-20098,-20096,16723,16725
StoneMazePath,-20092,-20090,16705,16707
StoneMazeEndChest,-20095,-20093,16678,16680
StoneMazePath,-20077,-20075,16690,16692
StoneMazePath,-20104,-20102,16696,16698
StoneMazePath,-20122,-20120,16696,16698
StoneMazeEndChest,-20104,-20102,16723,16725
StoneMazePath,-20122,-20120,16720,16722
StoneMazePath,-20134,-20132,16687,16689
StoneMazeEndChest,-20086,-20084,16666,16668
StoneMazePath,-20125,-20123,16696,16698
StoneMazeEndChest,-20098,-20096,16681,16683
StoneMazePath,-20089,-20087,16723,16725
StoneMazePath,-20101,-20099,16702,16704
StoneMazePath,-20107,-20105,16693,16695
StoneMazePath,-20089,-20087,16705,16707
StoneMazePath,-20086,-20084,16723,16725
StoneMazePath,-20089,-20087,16708,16710
StoneMazePath,-20089,-20087,16711,16713
StoneMazePath,-20113,-20111,16675,16677
StoneMazePath,-20089,-20087,16714,16716
StoneMazeEndChest,-20107,-20105,16696,16698
StoneMazePath,-20092,-20090,16711,16713
StoneMazePath,-20092,-20090,16708,16710
StoneMazePath,-20113,-20111,16678,16680
StoneMazePath,-20134,-20132,16690,16692
StoneMazePath,-20101,-20099,16705,16707
StoneMazePath,-20122,-20120,16723,16725
StoneMazePath,-20107,-20105,16690,16692
StoneMazePath,-20098,-20096,16705,16707
StoneMazePath,-20092,-20090,16714,16716
StoneMazePath,-20116,-20114,16675,16677
StoneMazePath,-20134,-20132,16693,16695
StoneMazePath,-20098,-20096,16708,16710
StoneMazePath,-20092,-20090,16717,16719
StoneMazePath,-20092,-20090,16720,16722
StoneMazePath,-20095,-20093,16708,16710
StoneMazePath,-20089,-20087,16717,16719
StoneMazePath,-20128,-20126,16702,16704
StoneMazePath,-20089,-20087,16720,16722
StoneMazePath,-20086,-20084,16720,16722
StoneMazePath,-20086,-20084,16717,16719
StoneMazePath,-20086,-20084,16705,16707
StoneMazePath,-20092,-20090,16723,16725
StoneMazePath,-20128,-20126,16699,16701
StoneMazeEndChest,-20101,-20099,16699,16701
StoneMazePath,-20128,-20126,16705,16707
StoneMazeEndChest,-20101,-20099,16708,16710
StoneMazePath,-20131,-20129,16705,16707
StoneMazePath,-20131,-20129,16702,16704
StoneMazePath,-20128,-20126,16696,16698
StoneMazePath,-20119,-20117,16723,16725
StoneMazePath,-20134,-20132,16702,16704
StoneMazePath,-20095,-20093,16723,16725
StoneMazeSpiderRoom,-20086,-20081,16708,16713
StoneMazeEndChest,-20113,-20111,16672,16674
